trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-208.31221761230688,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-118.67351858326263,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,7,-102.7924155633103,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-124.73234488037787,"{0: 10, 1: 1, 2: 5, 3: 4, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-19.488214394070262,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-163.21930298964998,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,4,-149.4829558310889,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 3}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-204.11919865251068,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,14,-11.963999389210676,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-102.77644564035131,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-106.50323802528673,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,5,-24.489306165581482,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-16.72690515126602,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-99.35429073205148,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,8,-51.11381316649945,"{0: 17, 1: 0, 2: 2, 3: 3, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-7.0268293174152205,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,9,6.285366478759183,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,29.68995768592993,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,9,-26.415138598340004,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,21,14.500790611206716,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,15,13.05292154437373,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,20,7.130145863623731,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,9,8.73177050261943,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,6,25.27925996736036,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,10,-66.74087433798925,"{0: 11, 1: 1, 2: 0, 3: 2, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,5,-18.722493885976636,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,15,-25.940713989624275,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,24.86048678178975,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,14,27.467378773659004,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,13,10.394035380695245,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
