trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",30,2,-120.92987873757879,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 1}",1
2,False,"{'a': 0.2, 'e': 0.9900498337491681}",20,0,-112.2982234517241,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.9801986733067553}",20,0,-119.09561707764912,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.2, 'e': 0.9704455335485082}",20,0,-87.73144522140393,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.9607894391523232}",20,2,-116.20624516283088,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 2}",1
6,False,"{'a': 0.2, 'e': 0.951229424500714}",25,0,-117.7083471616807,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.2, 'e': 0.9417645335842487}",25,0,-110.52421372975388,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.2, 'e': 0.9323938199059483}",20,0,-75.97508869008931,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.9231163463866358}",30,0,-61.976657882895495,"{0: 19, 1: 7, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.9139311852712282}",30,0,-86.16095731221742,"{0: 19, 1: 5, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.2, 'e': 0.9048374180359595}",25,0,-30.306086375962405,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.2, 'e': 0.8958341352965282}",30,0,-130.76680204693153,"{0: 20, 1: 0, 2: 7, 3: 2, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.8869204367171575}",20,0,-62.04959869336157,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.2, 'e': 0.8780954309205613}",20,0,-131.29534011359195,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
15,False,"{'a': 0.2, 'e': 0.8693582353988059}",30,0,-88.62784853151939,"{0: 18, 1: 2, 2: 10, 3: 0, 4: 0}",0
16,False,"{'a': 0.2, 'e': 0.8607079764250578}",20,8,-34.00974855778872,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.2, 'e': 0.8521437889662113}",25,0,-91.98730741357369,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.2, 'e': 0.8436648165963837}",25,0,-97.79069446749263,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.2, 'e': 0.835270211411272}",25,0,-87.70348774754967,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.2, 'e': 0.8269591339433623}",25,0,-44.038200396129724,"{0: 21, 1: 0, 2: 1, 3: 3, 4: 0}",0
21,False,"{'a': 0.2, 'e': 0.8187307530779818}",20,0,-217.2349721633701,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 4}",0
22,False,"{'a': 0.2, 'e': 0.8105842459701871}",20,0,-65.456778207429,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
23,False,"{'a': 0.2, 'e': 0.8025187979624785}",20,0,-81.54069328658524,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.2, 'e': 0.794533602503334}",20,3,-44.18971954710416,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
25,False,"{'a': 0.2, 'e': 0.7866278610665535}",25,0,-114.03689620719499,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.2, 'e': 0.7788007830714049}",20,0,-68.4907932274931,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
27,False,"{'a': 0.2, 'e': 0.7710515858035663}",25,0,-157.18977747580695,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
28,False,"{'a': 0.2, 'e': 0.7633794943368531}",35,0,-176.32132821057314,"{0: 22, 1: 6, 2: 3, 3: 1, 4: 3}",0
29,False,"{'a': 0.2, 'e': 0.7557837414557255}",20,0,-85.2655977251939,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.2, 'e': 0.7482635675785653}",25,0,-95.62963992847563,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
31,False,"{'a': 0.2, 'e': 0.7408182206817179}",30,0,-97.9027481936771,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
32,False,"{'a': 0.2, 'e': 0.7334469562242892}",25,0,-35.61110318113443,"{0: 20, 1: 4, 2: 0, 3: 0, 4: 1}",0
33,False,"{'a': 0.2, 'e': 0.7261490370736909}",20,0,-99.7939520522975,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
34,False,"{'a': 0.2, 'e': 0.7189237334319262}",25,0,-78.74887875547778,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.2, 'e': 0.7117703227626097}",25,0,-39.10354815344464,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
36,False,"{'a': 0.2, 'e': 0.7046880897187134}",20,5,-55.477974887436254,"{0: 10, 1: 0, 2: 3, 3: 2, 4: 0}",1
37,False,"{'a': 0.2, 'e': 0.697676326071031}",20,0,-102.48205535847971,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
38,False,"{'a': 0.2, 'e': 0.6907343306373547}",25,14,6.475197452002616,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.2, 'e': 0.6838614092123558}",20,12,0.5797651067331651,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.2, 'e': 0.6770568744981647}",30,0,-96.37565101360522,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
41,False,"{'a': 0.2, 'e': 0.6703200460356393}",20,0,-9.665644108121683,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.2, 'e': 0.6636502501363194}",20,0,-78.1045567606578,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
43,False,"{'a': 0.2, 'e': 0.6570468198150567}",20,4,-38.43337004586559,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.6505090947233165}",20,0,0.2911026924698933,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
45,False,"{'a': 0.2, 'e': 0.6440364210831414}",25,0,-112.89541125364406,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
46,False,"{'a': 0.2, 'e': 0.6376281516217733}",20,0,-70.94213629776624,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
47,False,"{'a': 0.2, 'e': 0.631283645506926}",25,0,-99.14664169996533,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
48,False,"{'a': 0.2, 'e': 0.6250022682827008}",20,0,-112.99187719543826,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
49,False,"{'a': 0.2, 'e': 0.6187833918061408}",25,0,-103.2256627734435,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
50,False,"{'a': 0.2, 'e': 0.6126263941844161}",30,10,-5.182503579132746,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.2, 'e': 0.6065306597126334}",20,0,-49.19471798837384,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
52,False,"{'a': 0.2, 'e': 0.6004955788122659}",20,0,-96.91095119904612,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
53,False,"{'a': 0.2, 'e': 0.5945205479701944}",20,0,-121.83080515417673,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
54,False,"{'a': 0.2, 'e': 0.5886049696783552}",20,11,-72.5150942789697,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 1}",1
55,False,"{'a': 0.2, 'e': 0.5827482523739896}",25,1,-28.432587377195723,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 0}",1
56,False,"{'a': 0.2, 'e': 0.5769498103804866}",20,0,-43.98091341525406,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
57,False,"{'a': 0.2, 'e': 0.5712090638488149}",25,0,-78.41749045126812,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.2, 'e': 0.5655254386995371}",25,0,-116.97807167482125,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
59,False,"{'a': 0.2, 'e': 0.559898366565402}",30,0,-92.64347194331143,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.2, 'e': 0.5543272847345071}",25,0,-34.25234791652631,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
61,False,"{'a': 0.2, 'e': 0.5488116360940265}",20,0,-12.9500374424846,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
62,False,"{'a': 0.2, 'e': 0.5433508690744998}",35,24,-1.557807413871446,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.5379444375946745}",25,7,-41.78261325720803,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.2, 'e': 0.5325918010068972}",20,0,-14.4206744959231,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.2, 'e': 0.5272924240430485}",30,0,-99.60812939732472,"{0: 23, 1: 3, 2: 1, 3: 1, 4: 2}",0
66,False,"{'a': 0.2, 'e': 0.522045776761016}",20,0,-64.33097187956733,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
67,False,"{'a': 0.2, 'e': 0.5168513344916992}",25,1,-16.506691043460954,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
68,False,"{'a': 0.2, 'e': 0.5117085777865424}",20,0,-141.90957766765058,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
69,False,"{'a': 0.2, 'e': 0.5066169923655895}",30,0,-107.40672001763477,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
70,False,"{'a': 0.2, 'e': 0.5015760690660555}",25,7,-38.40996224533667,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 0}",1
71,False,"{'a': 0.2, 'e': 0.49658530379140947}",30,0,-234.3538645183989,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 5}",0
72,False,"{'a': 0.2, 'e': 0.4916441974609651}",25,5,-125.42381985692789,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",1
73,False,"{'a': 0.2, 'e': 0.4867522559599717}",30,5,-53.92858737583204,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",1
74,False,"{'a': 0.2, 'e': 0.48190899009020244}",20,0,-44.604542429106274,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
75,False,"{'a': 0.2, 'e': 0.4771139155210344}",25,0,-44.85102042641811,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
76,False,"{'a': 0.2, 'e': 0.4723665527410147}",30,0,-80.54456492748218,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
77,False,"{'a': 0.2, 'e': 0.46766642700990924}",25,0,-35.280146638164894,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.2, 'e': 0.46301306831122807}",25,20,9.815569581940126,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.2, 'e': 0.4584060113052235}",20,1,1.7483436326175268,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.2, 'e': 0.45384479528235583}",20,0,-12.199644031042073,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
81,False,"{'a': 0.2, 'e': 0.44932896411722156}",20,0,-111.698672835714,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
