trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,1,-78.53126167075224,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.9453291050097,"{0: 11, 1: 2, 2: 8, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.59013859404382,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.8022950052437,"{0: 12, 1: 4, 2: 12, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.86867660511754,"{0: 14, 1: 7, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.58409638034667,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.19960369398041,"{0: 14, 1: 3, 2: 5, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.714324737111546,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.1376112589614,"{0: 10, 1: 3, 2: 8, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.04198638511393,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.6410559810862,"{0: 14, 1: 9, 2: 4, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-117.05165307439475,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.051501825266,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.60036592901247,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.47222253588113,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.3868478908463,"{0: 8, 1: 6, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.7662391442192,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-219.0617243789335,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-62.827434931492974,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-123.16787252618694,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-111.49541346605078,"{0: 22, 1: 5, 2: 7, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,8,-128.8776668837771,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 2}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-93.10314076118256,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.9523392546076,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-108.20269132811492,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-126.70221485163026,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-85.4679514670948,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-167.8574053596388,"{0: 16, 1: 5, 2: 4, 3: 4, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-127.98086019475181,"{0: 21, 1: 3, 2: 2, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-241.69171590528344,"{0: 16, 1: 3, 2: 12, 3: 2, 4: 2}",0
